speaker,word,C1,V,C2,F2C1,F2V,F2C2,dur b-m,duration,rate,,,
CC,dad,d,a,d,1880.102041,1234.693878,1902.255639,0.112061,0.257717,normal,,,
CC,dad,d,a,d,1847.117794,1262.755102,1978.316327,0.128235,0.258934,normal,,,
CC,dad,d,a,d,1791.97995,1262.755102,1833.333333,0.093577,0.283551,normal,,,
CC,dad,d,a,d,1725.765306,1290.816327,1860.902256,0.125925,0.264364,normal,,,
CC,dad,d,a,d,1695.488722,1276.785714,1847.117794,0.131701,0.281242,normal,,,
CC,dag,d,a,g,1695.488722,1220.663265,1529.336735,0.134011,0.264557,normal,,,
CC,dag,d,a,g,1778.195489,1206.632653,1515.306122,0.119568,0.24747,normal,,,
CC,dag,d,a,g,1767.857143,1248.72449,1543.367347,0.149026,0.311486,normal,,,
CC,dag,d,a,g,1711.734694,1192.602041,1612.781955,0.132856,0.274307,normal,,,
CC,dag,d,a,g,1725.765306,1276.785714,1557.64411,0.124769,0.268986,normal,,,
CC,dag,d,a,g,1767.857143,1262.755102,1530.075188,0.120148,0.23503,normal,,,
CC,deb,d,e,b,2177.944862,2062.5,1571.428571,0.091266,0.188309,normal,,,
CC,deb,d,e,b,2301.020408,2160.714286,1681.704261,0.091267,0.187244,normal,,,
CC,deb,d,e,b,2174.744898,2132.653061,1516.290727,0.081445,0.178628,normal,,,
CC,deb,d,e,b,2244.897959,2006.377551,1598.997494,0.079714,0.162248,normal,,,
CC,deb,d,e,b,2315.05102,2090.561224,1778.195489,0.086645,0.177718,normal,,,
