C1	C2	O	C1prob	C2prob	E
y	XX	2	0.028982797307404638	0.016267763649962602	2.5215033657442034
b	RR	7	0.05179506357516829	0.012528047868362004	3.470269259536275
f	RR	2	0.04431563201196709	0.012528047868362004	2.9691473448017947
m	RR	4	0.0512341062079282	0.012528047868362004	3.4326851159311893
t	RR	2	0.01907255048616305	0.012528047868362004	1.2778608825729245
d	RR	5	0.03702318623784592	0.012528047868362004	2.480553477935677
TT	RR	1	0.02617801047120419	0.012528047868362004	1.7539267015706808
DD	RR	4	0.015893792071802543	0.012528047868362004	1.0648840688107704
th	RR	1	0.010284218399401645	0.012528047868362004	0.6890426327599103
dh	RR	0	0.013462976813762155	0.012528047868362004	0.9020194465220643
s	RR	1	0.043006731488406884	0.012528047868362004	2.881451009723261
z	RR	5	0.028234854151084517	0.012528047868362004	1.8917352281226625
SS	RR	3	0.02580403889304413	0.012528047868362004	1.7288706058339565
ZZ	RR	0	0.004113687359760658	0.012528047868362004	0.2756170531039641
sh	RR	4	0.037397157816005985	0.012528047868362004	2.505609573672401
k	RR	0	0.032535527299925204	0.012528047868362004	2.1798803290949884
g	RR	0	0.036088257292445775	0.012528047868362004	2.417913238593867
q	RR	0	0.04281974569932685	0.012528047868362004	2.8689229618548993
XX	RR	0	0.02973074046372476	0.012528047868362004	1.9919596110695588
RR	RR	0	0.02225130890052356	0.012528047868362004	1.4908376963350785
HH	RR	0	0.04094988780852655	0.012528047868362004	2.743642483171279
GG	RR	0	0.043006731488406884	0.012528047868362004	2.881451009723261
h	RR	0	0.036275243081525806	0.012528047868362004	2.4304412864622287
ʔ	RR	0	0.02243829468960359	0.012528047868362004	1.5033657442034405
l	RR	6	0.05048616305160808	0.012528047868362004	3.3825729244577416
r	RR	7	0.07479431563201197	0.012528047868362004	5.011219147344802
n	RR	6	0.0605833956619297	0.012528047868362004	4.05908750934929
w	RR	8	0.0712415856394914	0.012528047868362004	4.773186237845924
y	RR	1	0.028982797307404638	0.012528047868362004	1.9418474195961106
b	HH	11	0.05179506357516829	0.03347045624532535	9.271316379955122
